math_accuracy,aptitude_accuracy,cs_accuracy,time_taken,attempts,gate_score,cleared_cutoff
49.963209507789,40.93645469887248,65.75967026268742,3711.633379573546,18,60.808781743674714,1
96.05714451279329,39.75830392575999,84.4345863439989,1427.4545381047978,10,80.73372669264297,1
78.5595153449124,92.50036644168293,80.81287438321272,4787.493904103111,11,83.626595135674,1
67.89267873576293,39.96369598796049,32.311992375501895,3542.9579475323594,17,36.94838684077145,0
32.48149123539492,41.75597809029048,31.939957579317912,1354.5786410733804,16,32.34794565721447,0
32.47956162689621,80.7518609934371,41.453949419593066,5219.222675909793,13,48.23621431130662,1
24.64668897345596,55.9791873960432,48.88597810728298,3088.154224009539,2,42.21246641853466,1
89.29409166199481,82.1368445564145,52.67644651267861,949.9125689839441,2,61.22353084722216,1
68.0892009394567,25.229292605150818,74.37577734666762,3608.7979411923225,14,63.39919965063446,1
76.64580622368364,59.005695493870746,24.534434573266832,1815.354753661489,4,37.99031754299848,0
21.646759543664196,22.68908801466261,22.77381633808531,4457.728569011051,17,21.748831399786496,0
97.59278817295954,25.01225627642836,51.35284503551272,4525.545953117715,13,55.589689142244524,1
86.59541126403374,92.51499626755287,75.77309537103844,5298.947308102377,4,79.68973756804213,1
36.987128854262096,31.139629689407613,35.47482743651861,3008.9737489176177,3,31.959208346506134,0
34.54599737656805,62.593654582017365,71.32035850050013,2783.793022693138,12,61.49546346561287,1
34.6723607882747,52.887648208056525,40.786251035223955,4216.682906143107,8,41.67228003682828,1
44.33937943676302,47.78746610070741,90.8868887050813,1235.8591504412475,2,75.89757898971023,1
61.98051453057903,91.9866676549818,91.65519554132932,3225.1944662069964,6,86.18844650120994,1
54.55560149136926,21.74587174203916,43.78297634250612,3221.9884806280843,10,43.97013526834377,1
43.298331215843355,73.10317489404713,38.39950031705924,1029.4709894898588,12,45.857941492159476,1
68.94823157779035,97.07155473708403,52.9043177652985,2606.3236104331854,10,65.53145806409482,1
31.15950885216335,64.81345467694736,39.242526814411896,4695.767033122569,10,41.233042209974805,1
43.37157188281745,94.94579696264735,73.79070746333629,4709.537385574369,3,71.11880728224939,1
49.308947463495336,24.1806303428819,86.08517476386284,1076.3407916144688,10,72.11943693451838,1
56.48559873736288,53.50346552593291,73.84737047289735,1035.460237189588,9,67.06993003204256,1
82.81407691144109,40.81262327696409,85.94803577994796,1860.9382896092893,19,77.65150784817287,1
35.97390257266878,78.46567719845838,51.75937297659793,4798.877100259168,14,52.99329486142395,1
61.13875507308893,98.50376723977973,32.50535765670887,1218.732408352795,2,50.00562661826026,1
67.39316550896339,40.52240499553982,79.03607579180738,4055.984652611742,5,72.92052024019789,1
23.71603301759982,72.33396811792596,48.83796041132431,1085.5949741428954,8,50.21171326281158,1
68.60358815211507,35.847810620779214,73.7016660183306,3591.0616979895617,7,70.47458470238205,1
33.64192989498332,65.22642036572879,41.65151535854125,2309.123035771895,6,45.79137921023634,1
25.20412743882236,57.114598935066894,26.49837078453381,4386.787022236162,11,28.63385728498698,0
95.91084298026666,97.76042637052296,99.40654363902107,1721.7141543617454,12,100.0,1
97.25056264596475,68.68218181571733,32.49612063444794,3668.168781071807,18,49.66570582759639,1
84.67178784931689,47.960509766945506,99.07367951707849,1731.2761659642479,19,90.5501500097805,1
44.36910153386965,29.12766279103467,98.18239460531578,4025.569358938338,10,79.3613071248709,1
27.81376912051071,32.09974629879476,83.50544831264317,4793.654565891594,14,68.53350454374954,1
74.73864212097254,38.025354396098805,72.7538369665598,1208.648635808448,3,67.80180591155727,1
55.21219949916811,40.07733290722384,66.22456402008677,4759.659305258417,18,58.694447922522635,1
29.763058787582306,88.04928462729103,89.28812363022678,3449.16122118863,15,78.71427076271944,1
59.614152808901615,64.89782306260199,43.15516172955903,1210.130356161715,6,50.29285522921543,1
22.75108168921747,61.87127290994931,57.41449699879016,2652.2009057266177,10,51.07186073018244,1
92.74563216630257,29.181509749537398,69.55119754932015,1372.12940872847,12,65.35180248494757,1
40.70239852800135,88.8111754679548,52.895238069559284,3961.6698665595336,7,57.9604716680543,1
73.00178274831856,77.8251442566787,54.19891632722144,4242.567045206159,17,60.8308586055348,1
44.93688608715288,25.413468952000127,46.422773400166754,1107.823297309435,1,44.20288127036513,1
61.605441694224865,76.62680777838149,65.13854533476288,3029.4712929342927,18,63.873783282118595,1
63.73682234746237,63.483057387411684,88.04596224120928,4510.200268924402,15,81.81401454394911,1
34.788356442042165,26.538027659742262,36.12227024050503,5093.582599444783,19,33.164490485799696,0
97.56677022116469,56.664051322292515,94.75464310027532,3064.885760360496,1,87.42910543061562,1
82.01062586888916,58.775702970403756,75.12701229985836,5161.340273334754,5,72.69616815139419,1
95.15991532513513,33.26196321306206,85.86185701440242,3171.3070581889433,15,82.09071160466621,1
91.5861880342119,95.65585176002259,64.49525541040093,2492.1143740795583,3,72.50407648651793,1
67.83199830488681,87.99802971845295,82.36133611392508,4671.375017053899,1,85.43022090782438,1
93.74993880184934,73.52178698632866,21.296031787157375,2966.3170101988276,8,35.87362490974057,0
27.07940016415356,56.98364488004857,85.47043398236282,2865.1320507097107,12,69.34620470632147,1
35.67862899353162,52.941243326760684,23.211108726829323,2953.499949167176,19,32.18912743111548,0
23.618183112843045,72.07787737207633,91.193070109029,4664.568008974778,12,81.34076726736966,1
46.02642646106115,63.634549552552436,99.35701977909146,4593.3194001026495,13,84.27214577302928,1
51.09418317515856,24.98184847055085,43.525396974142225,2536.8959637130138,1,42.01696986220168,1
41.70792254191167,61.000211901626535,36.82548450286349,2199.83932737852,19,42.608439155541724,1
86.29900073215435,84.51228937862716,81.22906910864326,2961.2545153878204,6,82.023290517938,1
48.540266135487144,56.73919020775664,40.242107273620256,3349.3080467381233,8,44.2611277257963,1
42.47476077499046,24.156526204341475,89.24499065377628,1744.0186110143854,4,72.48805253102957,1
63.41568665265988,82.90225595072265,28.227407372598137,4410.984406634835,5,38.743982592020494,0
31.27393799798101,36.10910257087795,30.076415710348662,2935.11727551563,7,30.47162451064887,0
84.17575846032318,40.6896667910431,98.33212440804925,2203.4186324158063,4,87.58703106361247,1
25.964051494381664,33.17650827458367,73.90711186160037,1112.7407662271548,4,60.81230593668116,1
98.95095492804138,46.4172051897198,87.75097795431623,1746.4567699373133,15,79.76989636844736,1
81.77958154373259,80.5401204550908,45.94635018812144,5156.5496244287215,5,58.01778823061654,1
35.89725452273379,61.550868760314984,74.11869996164836,2064.4784967337278,9,66.75929577140336,1
20.441769369888192,36.390501932057006,67.53934618468777,1410.5245889617695,2,53.69161058188975,1
85.23691427638673,90.22640625216327,68.25200960983577,2811.2293999439676,7,77.69403327421485,1
76.54858750780937,90.36654839612234,74.60259676301773,2074.021168129194,17,76.56591895646451,1
78.32057344327899,89.64627400368056,66.02873385032788,768.7644013017319,16,70.85184604776359,1
81.70162773487566,39.10369691052314,54.324989544213274,2151.0970429412027,17,57.43170986814176,1
25.92357213872723,56.099147534479044,42.07381555044375,3211.7213949094494,2,45.523081111431274,1
48.67725828354181,98.79917249127001,81.48650647305615,3248.219385695841,11,80.52409833945012,1
29.269524762010377,81.76099810479923,38.101794400254896,2311.482821649066,2,44.97805418358761,1
89.04827407004748,22.173393698044784,75.38834449235313,2747.0532300124833,1,67.45184757888022,1
69.86385014620464,25.216367300839366,38.66662581194613,5234.486007526879,2,41.50259008949323,1
